name,url,category_id,parent_id,is_pagelist
plante,https://www.gammvert.fr/c/plante,plante_https_www.gammvert.fr_c_plante,catégorie racine,0
image & poster,https://www.gammvert.fr/c/image-et-poster,image_&_poster_https_www.gammvert.fr_c_image-et-poster,son_&_image_https_www.gammvert.fr_c_son-et-image,1
